Species,Island,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
Gentoo,Biscoe,Yes,4,44.5,14.7,214.0,4850.0,FEMALE,8.20106,-26.16524
Gentoo,Biscoe,Yes,394,45.2,15.8,215.0,5300.0,MALE,8.55868,-26.67799
Chinstrap,Dream,Yes,8,49.8,17.3,198.0,3675.0,FEMALE,9.32169,-24.41562
Chinstrap,Dream,Yes,741,51.3,19.9,198.0,3700.0,MALE,8.79581,-24.36088
Adelie,Dream,Yes,743,44.1,19.7,196.0,4400.0,MALE,9.2372,-24.52698
Chinstrap,Dream,No,10,49.6,18.2,193.0,3775.0,MALE,9.4618,-24.70615
Chinstrap,Dream,No,372,46.9,16.6,192.0,2700.0,FEMALE,9.80589,-24.73735
Gentoo,Biscoe,Yes,387,48.7,15.7,208.0,5350.0,MALE,8.14776,-26.84506
Adelie,Biscoe,Yes,16,39.7,18.9,184.0,3550.0,MALE,8.85699,-25.80208
Adelie,Biscoe,Yes,387,42.0,19.5,200.0,4050.0,MALE,8.48095,-26.3146
Adelie,Torgersen,Yes,751,39.5,17.4,186.0,3800.0,FEMALE,8.94956,-24.69454
Adelie,Dream,Yes,749,42.3,21.2,191.0,4150.0,MALE,8.87988,-25.18543
Adelie,Torgersen,Yes,394,34.6,17.2,189.0,3200.0,FEMALE,7.69778,-26.5387
Chinstrap,Dream,Yes,8,50.7,19.7,203.0,4050.0,MALE,9.93727,-24.59066
Adelie,Dream,Yes,746,36.4,17.0,195.0,3325.0,FEMALE,9.17847,-25.23061
Gentoo,Biscoe,Yes,392,49.6,15.0,216.0,4750.0,MALE,8.26548,-26.7699
Adelie,Dream,Yes,382,41.1,18.1,205.0,4300.0,MALE,8.77018,-25.83352
Adelie,Biscoe,Yes,387,35.0,17.9,190.0,3450.0,FEMALE,8.19539,-26.17213
Gentoo,Biscoe,Yes,393,50.5,15.9,222.0,5550.0,MALE,8.46894,-26.60436
Gentoo,Biscoe,Yes,735,45.1,14.5,215.0,5000.0,FEMALE,7.6322,-25.46569
Adelie,Torgersen,Yes,747,38.6,21.2,191.0,3800.0,MALE,,
Adelie,Dream,Yes,388,38.3,19.2,189.0,3950.0,MALE,9.07826,-26.12417
Gentoo,Biscoe,Yes,392,50.1,15.0,225.0,5000.0,MALE,8.50153,-26.61414
Chinstrap,Dream,Yes,740,45.9,17.1,190.0,3575.0,FEMALE,9.12277,-24.90024
Gentoo,Biscoe,No,0,47.2,13.7,214.0,4925.0,FEMALE,7.99184,-26.20538
Adelie,Dream,Yes,18,38.1,17.6,187.0,3425.0,FEMALE,8.717,-25.77951
Gentoo,Biscoe,Yes,11,43.4,14.4,218.0,4600.0,FEMALE,8.23468,-26.18599
Gentoo,Biscoe,Yes,6,46.2,14.1,217.0,4375.0,FEMALE,8.30231,-25.96013
Gentoo,Biscoe,Yes,735,46.3,15.8,215.0,5050.0,MALE,7.90971,-25.38157
Adelie,Biscoe,Yes,387,34.5,18.1,187.0,2900.0,FEMALE,8.41837,-26.54718
Adelie,Biscoe,Yes,390,39.6,17.7,186.0,3500.0,FEMALE,8.46616,-26.12989
Chinstrap,Dream,No,734,43.2,16.6,187.0,2900.0,FEMALE,9.35416,-25.01185
Chinstrap,Dream,Yes,382,52.0,20.7,210.0,4800.0,MALE,9.43146,-24.6844
Gentoo,Biscoe,Yes,9,45.2,14.8,212.0,5200.0,FEMALE,8.24246,-26.11969
Chinstrap,Dream,Yes,371,47.5,16.8,199.0,3900.0,FEMALE,9.07825,-25.1455
Chinstrap,Dream,No,732,58.0,17.8,181.0,3700.0,FEMALE,9.14382,-24.57994
Adelie,Biscoe,Yes,381,36.5,16.6,181.0,2850.0,FEMALE,9.07878,-25.88156
Adelie,Dream,Yes,749,36.0,17.9,190.0,3450.0,FEMALE,9.51784,-25.07683
Gentoo,Biscoe,Yes,729,49.3,15.7,217.0,5850.0,MALE,8.07137,-25.52473
Gentoo,Biscoe,Yes,729,45.1,14.5,207.0,5050.0,FEMALE,7.97408,-25.53768
Adelie,Biscoe,Yes,750,37.7,18.7,180.0,3600.0,MALE,8.66271,-25.0639
Gentoo,Biscoe,Yes,0,49.5,16.1,224.0,5650.0,MALE,8.83352,-25.69195
Chinstrap,Dream,Yes,741,46.0,18.9,195.0,4150.0,FEMALE,8.47173,-24.29229
Gentoo,Biscoe,Yes,393,43.8,13.9,208.0,4300.0,FEMALE,8.58319,-26.84415
Chinstrap,Dream,No,372,53.5,19.9,205.0,4500.0,MALE,10.02544,-24.90816
Gentoo,Biscoe,Yes,387,46.5,14.8,217.0,5200.0,FEMALE,8.58487,-26.5929
Gentoo,Biscoe,Yes,394,44.4,17.3,219.0,5250.0,MALE,8.13746,-26.79093
Gentoo,Biscoe,Yes,6,47.5,14.0,212.0,4875.0,FEMALE,8.12691,-26.23613
Adelie,Dream,Yes,14,37.8,18.1,193.0,3750.0,MALE,8.97533,-26.03495
Adelie,Torgersen,No,8,38.5,17.9,190.0,3325.0,FEMALE,8.9846,-25.57956
Adelie,Dream,Yes,14,41.5,18.5,201.0,4000.0,MALE,8.8964,-26.06967
Adelie,Dream,Yes,386,43.2,18.5,192.0,4100.0,MALE,8.97025,-26.03679
Adelie,Dream,Yes,388,36.9,18.6,189.0,3500.0,FEMALE,8.59147,-26.08165
Gentoo,Biscoe,Yes,11,50.5,15.2,216.0,5000.0,FEMALE,8.24691,-26.18466
Chinstrap,Dream,Yes,12,45.7,17.0,195.0,3650.0,FEMALE,9.26715,-24.31912
Adelie,Torgersen,No,14,37.7,19.8,198.0,3500.0,MALE,9.11066,-26.42563
Gentoo,Biscoe,Yes,9,49.9,16.1,213.0,5400.0,MALE,8.3639,-26.15531
Adelie,Biscoe,Yes,750,37.8,18.3,174.0,3400.0,FEMALE,8.73762,-25.09383
Chinstrap,Dream,Yes,382,47.6,18.3,195.0,3850.0,FEMALE,8.83502,-24.65859
Adelie,Torgersen,Yes,382,39.7,18.4,190.0,3900.0,MALE,9.29808,-25.23453
Adelie,Biscoe,Yes,16,38.6,17.2,199.0,3750.0,FEMALE,8.77322,-26.48973
Gentoo,Biscoe,Yes,392,46.6,14.2,210.0,4850.0,FEMALE,8.38289,-26.86352
Adelie,Biscoe,Yes,16,37.7,16.0,183.0,3075.0,FEMALE,9.2151,-26.2253
