status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
... >= 200 DM / salary for at least 1 year,4,no credits taken/all credits paid back duly,car (used),601,unknown/no savings account,< 1 yr,>= 35,female : non-single or male : single,none,4 <= ... < 7 yrs,unknown / no property,23,none,for free,1,unskilled - resident,3 or more,no,no,good
... >= 200 DM / salary for at least 1 year,39,no credits taken/all credits paid back duly,car (new),2569,100 <= ... <  500 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,15,all credits at this bank paid back duly,furniture/equipment,1316,100 <= ... <  500 DM,1 <= ... < 4 yrs,25 <= ... < 35,female : single,none,1 <= ... < 4 yrs,car or other,47,none,rent,2-3,unskilled - resident,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,60,no credits taken/all credits paid back duly,others,10366,unknown/no savings account,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,car or other,42,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,retraining,1568,... <  100 DM,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,car or other,24,none,for free,1,unskilled - resident,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,furniture/equipment,629,100 <= ... <  500 DM,>= 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,car or other,32,bank,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,6,critical account/other credits elsewhere,furniture/equipment,1750,100 <= ... <  500 DM,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,car or other,45,bank,rent,1,unskilled - resident,3 or more,no,no,good
... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,car (new),3488,... <  100 DM,4 <= ... < 7 yrs,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,furniture/equipment,1800,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,24,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,car (used),4151,... <  100 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,4 <= ... < 7 yrs,car or other,35,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
... < 0 DM,15,no credits taken/all credits paid back duly,domestic appliances,2631,... <  100 DM,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,25,none,rent,1,unskilled - resident,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,21,no credits taken/all credits paid back duly,car (new),5248,... >= 1000 DM,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
... < 0 DM,18,existing credits paid back duly till now,others,2899,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,43,none,rent,1,skilled employee/official,3 or more,no,no,good
... < 0 DM,18,existing credits paid back duly till now,domestic appliances,6204,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,unknown / no property,44,none,rent,1,unskilled - resident,3 or more,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,furniture/equipment,804,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,38,none,rent,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,furniture/equipment,3595,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,36,all credits at this bank paid back duly,car (new),5711,500 <= ... < 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,38,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
0<= ... < 200 DM,15,no credits taken/all credits paid back duly,retraining,2687,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,car or other,26,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,good
no checking account,15,existing credits paid back duly till now,car (used),3643,unknown/no savings account,>= 7 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,car or other,27,none,rent,2-3,unskilled - resident,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,10,all credits at this bank paid back duly,car (used),2146,unknown/no savings account,< 1 yr,>= 35,female : non-single or male : single,none,4 <= ... < 7 yrs,unknown / no property,23,none,for free,2-3,skilled employee/official,0 to 2,no,no,good
no checking account,10,no credits taken/all credits paid back duly,furniture/equipment,2315,unknown/no savings account,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,unknown / no property,52,none,rent,1,unskilled - resident,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,5,no credits taken/all credits paid back duly,retraining,3448,unknown/no savings account,4 <= ... < 7 yrs,>= 35,male : married/widowed,none,>= 7 yrs,unknown / no property,74,none,rent,1,unskilled - resident,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,car (used),2708,unknown/no savings account,< 1 yr,25 <= ... < 35,male : married/widowed,none,4 <= ... < 7 yrs,car or other,27,bank,rent,2-3,unskilled - resident,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,11,all credits at this bank paid back duly,others,1393,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,35,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,no,good
0<= ... < 200 DM,10,no credits taken/all credits paid back duly,car (used),1275,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,23,none,rent,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,car (used),1313,unknown/no savings account,>= 7 yrs,>= 35,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,20,none,rent,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,furniture/equipment,1493,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,34,none,rent,1,skilled employee/official,3 or more,no,no,good
... >= 200 DM / salary for at least 1 year,22,no credits taken/all credits paid back duly,furniture/equipment,2675,100 <= ... <  500 DM,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,40,none,rent,1,skilled employee/official,0 to 2,no,no,good
... < 0 DM,9,no credits taken/all credits paid back duly,furniture/equipment,2118,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,37,none,rent,1,unskilled - resident,3 or more,no,no,good
... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,others,909,100 <= ... <  500 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,car or other,36,none,rent,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,car (used),1258,unknown/no savings account,< 1 yr,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,car or other,22,none,for free,2-3,unskilled - resident,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,15,critical account/other credits elsewhere,furniture/equipment,1569,... <  100 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,34,bank,rent,1,unskilled - resident,3 or more,no,no,good
... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,car (new),1236,100 <= ... <  500 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,car or other,50,none,for free,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,car (used),7678,100 <= ... <  500 DM,4 <= ... < 7 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,40,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,domestic appliances,660,100 <= ... <  500 DM,4 <= ... < 7 yrs,25 <= ... < 35,female : single,none,>= 7 yrs,unknown / no property,23,none,for free,1,unskilled - resident,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,car (used),2835,100 <= ... <  500 DM,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,car or other,53,none,rent,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,car (new),2670,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,35,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,12,critical account/other credits elsewhere,vacation,3447,100 <= ... <  500 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,unknown / no property,35,none,rent,1,unskilled - resident,3 or more,no,no,good
... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,furniture/equipment,3568,unknown/no savings account,>= 7 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,54,bank,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
... < 0 DM,21,all credits at this bank paid back duly,retraining,3652,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,4 <= ... < 7 yrs,car or other,27,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
no checking account,24,no credits taken/all credits paid back duly,furniture/equipment,3660,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,no,no,good
0<= ... < 200 DM,9,no credits taken/all credits paid back duly,furniture/equipment,1126,... <  100 DM,>= 7 yrs,25 <= ... < 35,male : divorced/separated,none,>= 7 yrs,unknown / no property,49,none,rent,1,skilled employee/official,0 to 2,no,no,good
0<= ... < 200 DM,6,existing credits paid back duly till now,furniture/equipment,683,unknown/no savings account,< 1 yr,25 <= ... < 35,female : non-single or male : single,none,< 1 yr,car or other,29,bank,rent,1,skilled employee/official,0 to 2,no,no,good
0<= ... < 200 DM,12,no credits taken/all credits paid back duly,car (used),2251,unknown/no savings account,1 <= ... < 4 yrs,>= 35,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,46,none,rent,1,unskilled - resident,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,car (new),4675,... >= 1000 DM,< 1 yr,>= 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,20,none,for free,1,skilled employee/official,0 to 2,no,no,good
... < 0 DM,21,existing credits paid back duly till now,others,2353,unknown/no savings account,1 <= ... < 4 yrs,>= 35,male : divorced/separated,none,>= 7 yrs,car or other,47,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
no checking account,21,no credits taken/all credits paid back duly,furniture/equipment,3357,500 <= ... < 1000 DM,< 1 yr,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,29,bank,rent,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,others,672,unknown/no savings account,unemployed,>= 35,female : non-single or male : single,none,>= 7 yrs,unknown / no property,54,none,rent,1,unemployed/unskilled - non-resident,0 to 2,yes (under customer name),no,good
no checking account,6,all credits at this bank paid back duly,furniture/equipment,338,100 <= ... <  500 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,52,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,furniture/equipment,2697,unknown/no savings account,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,32,none,rent,1,skilled employee/official,3 or more,no,no,good
... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,others,2507,100 <= ... <  500 DM,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,real estate,51,none,own,1,unskilled - resident,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,15,existing credits paid back duly till now,furniture/equipment,1478,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : single,none,4 <= ... < 7 yrs,unknown / no property,33,bank,rent,2-3,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,repairs,3565,... >= 1000 DM,< 1 yr,25 <= ... < 35,male : married/widowed,none,< 1 yr,car or other,37,none,rent,2-3,unskilled - resident,3 or more,no,no,good
... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,car (used),2221,100 <= ... <  500 DM,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,20,none,for free,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,6,all credits at this bank paid back duly,furniture/equipment,1898,... >= 1000 DM,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,34,none,rent,2-3,unskilled - resident,3 or more,no,no,good
... < 0 DM,6,existing credits paid back duly till now,retraining,1449,... <  100 DM,>= 7 yrs,>= 35,male : divorced/separated,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,31,bank,rent,2-3,skilled employee/official,3 or more,no,no,good
... >= 200 DM / salary for at least 1 year,15,existing credits paid back duly till now,car (used),960,500 <= ... < 1000 DM,4 <= ... < 7 yrs,20 <= ... < 25,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,30,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,car (new),8133,unknown/no savings account,1 <= ... < 4 yrs,>= 35,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,30,bank,rent,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,car (used),2301,... <  100 DM,< 1 yr,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,car or other,22,none,for free,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,6,existing credits paid back duly till now,retraining,1743,... <  100 DM,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,34,none,rent,2-3,unskilled - resident,0 to 2,no,no,good
... < 0 DM,12,no credits taken/all credits paid back duly,car (used),983,500 <= ... < 1000 DM,< 1 yr,>= 35,female : non-single or male : single,none,>= 7 yrs,unknown / no property,19,none,for free,1,unskilled - resident,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,2320,unknown/no savings account,unemployed,25 <= ... < 35,female : single,none,4 <= ... < 7 yrs,unknown / no property,34,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
no checking account,12,critical account/other credits elsewhere,vacation,339,unknown/no savings account,>= 7 yrs,< 20,female : single,none,< 1 yr,building soc. savings agr./life insurance,45,bank,rent,1,unskilled - resident,0 to 2,no,no,good
0<= ... < 200 DM,24,no credits taken/all credits paid back duly,furniture/equipment,5152,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,25,bank,rent,1,skilled employee/official,0 to 2,no,no,good
0<= ... < 200 DM,24,no credits taken/all credits paid back duly,car (used),3749,unknown/no savings account,< 1 yr,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,9,all credits at this bank paid back duly,furniture/equipment,3074,... >= 1000 DM,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,33,none,rent,2-3,skilled employee/official,3 or more,no,no,good
0<= ... < 200 DM,9,no credits taken/all credits paid back duly,furniture/equipment,745,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,28,none,rent,1,unskilled - resident,0 to 2,no,no,bad
... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,others,1469,... <  100 DM,>= 7 yrs,< 20,female : single,none,>= 7 yrs,unknown / no property,41,none,for free,1,unskilled - resident,0 to 2,no,no,good
no checking account,6,no credits taken/all credits paid back duly,car (used),1374,unknown/no savings account,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,36,bank,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,6,critical account/other credits elsewhere,others,783,... >= 1000 DM,1 <= ... < 4 yrs,>= 35,male : married/widowed,guarantor,1 <= ... < 4 yrs,unknown / no property,26,stores,rent,1,unskilled - resident,3 or more,no,no,good
no checking account,21,no credits taken/all credits paid back duly,furniture/equipment,2606,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,car or other,28,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,54,delay in paying off in the past,car (new),9436,... >= 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,car or other,39,none,rent,1,unskilled - resident,3 or more,no,no,good
... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,furniture/equipment,930,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,unknown / no property,65,none,rent,>= 6,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,48,all credits at this bank paid back duly,car (new),2751,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,38,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,6,all credits at this bank paid back duly,others,250,500 <= ... < 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,41,bank,rent,2-3,unskilled - resident,0 to 2,no,no,good
... < 0 DM,24,no credits taken/all credits paid back duly,others,1201,unknown/no savings account,< 1 yr,< 20,male : married/widowed,none,< 1 yr,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
no checking account,6,no credits taken/all credits paid back duly,others,662,unknown/no savings account,< 1 yr,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,unknown / no property,41,none,rent,1,unskilled - resident,3 or more,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,car (new),1300,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,45,bank,own,1,skilled employee/official,3 or more,no,no,good
... >= 200 DM / salary for at least 1 year,24,critical account/other credits elsewhere,retraining,1559,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,40,bank,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
0<= ... < 200 DM,12,no credits taken/all credits paid back duly,furniture/equipment,3016,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,female : single,none,< 1 yr,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,15,all credits at this bank paid back duly,furniture/equipment,1360,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,car or other,31,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,6,delay in paying off in the past,others,1204,... <  100 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,< 1 yr,real estate,35,bank,for free,1,skilled employee/official,0 to 2,no,yes,good
... >= 200 DM / salary for at least 1 year,10,no credits taken/all credits paid back duly,others,1597,100 <= ... <  500 DM,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,real estate,40,none,for free,1,unskilled - resident,3 or more,no,yes,good
... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,furniture/equipment,2073,... <  100 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,co-applicant,1 <= ... < 4 yrs,unknown / no property,28,none,rent,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,11,no credits taken/all credits paid back duly,retraining,2142,500 <= ... < 1000 DM,>= 7 yrs,>= 35,male : divorced/separated,none,1 <= ... < 4 yrs,unknown / no property,28,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
no checking account,10,all credits at this bank paid back duly,car (used),2132,... >= 1000 DM,< 1 yr,25 <= ... < 35,female : non-single or male : single,co-applicant,4 <= ... < 7 yrs,unknown / no property,27,none,for free,2-3,skilled employee/official,0 to 2,no,yes,good
... >= 200 DM / salary for at least 1 year,10,no credits taken/all credits paid back duly,others,1546,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,31,none,rent,1,unskilled - resident,3 or more,no,yes,good
... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,others,1287,500 <= ... < 1000 DM,>= 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,unknown / no property,37,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,10,no credits taken/all credits paid back duly,others,1418,... <  100 DM,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,35,none,for free,1,unskilled - resident,0 to 2,no,yes,good
0<= ... < 200 DM,6,all credits at this bank paid back duly,others,1343,unknown/no savings account,>= 7 yrs,>= 35,male : married/widowed,none,>= 7 yrs,unknown / no property,46,none,rent,2-3,skilled employee/official,3 or more,no,yes,good
... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,others,2662,... >= 1000 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,car or other,32,none,rent,1,skilled employee/official,0 to 2,no,yes,good
... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,furniture/equipment,6070,unknown/no savings account,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,33,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,repairs,1927,... >= 1000 DM,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,33,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,furniture/equipment,2404,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,26,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,6,all credits at this bank paid back duly,furniture/equipment,1554,unknown/no savings account,4 <= ... < 7 yrs,>= 35,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,24,none,for free,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,22,no credits taken/all credits paid back duly,others,1283,... >= 1000 DM,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,car or other,25,none,for free,1,skilled employee/official,0 to 2,no,no,good
... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,others,717,... >= 1000 DM,>= 7 yrs,< 20,female : single,none,>= 7 yrs,building soc. savings agr./life insurance,54,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
no checking account,24,no credits taken/all credits paid back duly,car (used),1747,unknown/no savings account,< 1 yr,< 20,male : married/widowed,co-applicant,< 1 yr,car or other,24,none,rent,1,unskilled - resident,0 to 2,no,yes,good
no checking account,9,all credits at this bank paid back duly,domestic appliances,1288,... <  100 DM,>= 7 yrs,20 <= ... < 25,male : married/widowed,guarantor,>= 7 yrs,unknown / no property,48,none,rent,2-3,skilled employee/official,3 or more,no,yes,good
no checking account,10,all credits at this bank paid back duly,others,1038,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,co-applicant,4 <= ... < 7 yrs,car or other,49,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,10,no credits taken/all credits paid back duly,car (new),2848,... <  100 DM,1 <= ... < 4 yrs,>= 35,male : married/widowed,co-applicant,1 <= ... < 4 yrs,unknown / no property,32,none,rent,1,skilled employee/official,3 or more,no,no,good
... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,car (new),1413,500 <= ... < 1000 DM,4 <= ... < 7 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,car or other,55,none,rent,1,skilled employee/official,0 to 2,no,yes,good
... >= 200 DM / salary for at least 1 year,30,all credits at this bank paid back duly,furniture/equipment,3077,... >= 1000 DM,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,40,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,good
no checking account,24,critical account/other credits elsewhere,car (new),3632,unknown/no savings account,1 <= ... < 4 yrs,>= 35,female : non-single or male : single,guarantor,>= 7 yrs,building soc. savings agr./life insurance,22,bank,for free,1,skilled employee/official,0 to 2,no,yes,good
... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,car (new),3229,... >= 1000 DM,unemployed,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,real estate,38,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,others,3577,... <  100 DM,1 <= ... < 4 yrs,>= 35,male : married/widowed,guarantor,1 <= ... < 4 yrs,unknown / no property,26,none,for free,1,skilled employee/official,3 or more,no,yes,good
... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,others,682,... <  100 DM,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,51,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
